N,Target_E,Found_E,Status,Time_sec,Moves_Million
3,1,1,Success,0.000819234,8.192
4,2,2,Success,0.000428718,8.192
5,2,2,Success,0.000448609,8.192
6,7,7,Success,0.000454216,8.192
7,3,3,Success,0.00051088,8.192
8,8,8,Success,0.000499377,8.192
9,12,12,Success,0.000538008,8.192
10,13,13,Success,0.000554356,8.192
11,5,5,Success,0.000632367,8.192
12,10,10,Success,0.000669484,8.192
13,6,6,Success,0.000699916,8.192
14,19,19,Success,0.00068615,8.192
15,15,15,Success,0.000755931,8.192
16,24,24,Success,0.000807959,8.192
17,32,32,Success,0.000861876,8.192
18,25,25,Success,0.000934214,8.192
19,29,29,Success,0.00106576,8.192
20,26,26,Success,0.0012798,8.192
21,26,26,Success,0.00190763,8.192
22,39,39,Success,0.00299122,8.192
23,47,47,Success,0.00608754,8.192
24,36,36,Success,0.0133463,8.192
25,36,36,Success,0.0191609,8.192
26,45,45,Success,0.0207722,8.192
27,37,37,Success,0.0213379,8.192
28,50,50,Success,0.0215339,8.192
29,62,62,Success,0.0217221,8.192
30,59,59,Success,0.0222211,8.192
31,67,67,Success,0.022761,8.192
32,64,64,Success,0.0231339,8.192
33,64,64,Success,0.0323781,8.192
34,65,65,Success,0.0273097,8.192
35,73,73,Success,0.0280062,8.192
36,82,82,Success,0.0285698,8.192
37,86,86,Success,0.02905,8.192
38,87,87,Success,0.0297015,8.192
39,99,99,Success,0.0303125,8.192
40,108,108,Success,0.0308399,8.192
41,180,108,Success,0.0313222,8.192
42,101,101,Success,0.0319795,8.192
43,109,109,Success,0.0326365,8.192
44,122,122,Success,0.0331846,8.192
45,118,118,Success,0.033662,8.192
46,131,131,Success,0.0343259,8.192
47,135,135,Success,0.0350709,8.192
48,140,140,Success,0.106451,24.576
49,136,136,Success,0.0717534,16.384
50,153,153,Success,0.0731933,16.384
51,153,153,Success,0.482908,106.496
52,166,166,Success,0.0755598,16.384
53,170,170,Success,0.0383418,8.192
54,175,175,Success,0.116632,24.576
55,171,171,Success,0.276552,57.344
56,192,192,Success,0.0402615,8.192
57,188,188,Success,1.66095,335.872
58,197,197,Success,0.576565,114.688
59,205,205,Success,0.209294,40.96
60,218,218,Success,0.975527,188.416
61,226,226,Success,0.12874,24.576
62,235,235,Success,2.43765,458.752
63,207,207,Success,0.39795,73.728
64,208,208,Success,1.34159,245.76
65,240,240,Success,3.62024,450.56
66,257,257,Success,1.20539,147.456
