N,variant,steps,one_shot_time,runopt_time,total_time,one_shot_status,runopt_status,total_moves,equiv_evals,best_bitstring,warm_start_file
1,jenga,1,1.6682,0.2702,1.9385,0,0,8192000,8192000,1,warm_starts/warm_n1_st1_vjenga.txt
1,jenga,2,1.6089,0.2738,1.8827,0,0,8192000,8192000,1,warm_starts/warm_n1_st2_vjenga.txt
1,dna,1,1.6767,0.2704,1.9471,0,0,8192000,8192000,1,warm_starts/warm_n1_st1_vdna.txt
1,dna,2,1.6311,0.2737,1.9048,0,0,8192000,8192000,1,warm_starts/warm_n1_st2_vdna.txt
1,beyblade,1,1.6529,0.2761,1.9289,0,0,8192000,8192000,0,warm_starts/warm_n1_st1_vbeyblade.txt
1,beyblade,2,1.6405,0.2735,1.9140,0,0,8192000,8192000,0,warm_starts/warm_n1_st2_vbeyblade.txt
2,jenga,1,1.6056,0.2752,1.8807,0,0,8192000,16384000,00,warm_starts/warm_n2_st1_vjenga.txt
2,jenga,2,1.8653,0.2787,2.1440,0,0,8192000,16384000,10,warm_starts/warm_n2_st2_vjenga.txt
2,dna,1,1.6231,0.2702,1.8933,0,0,8192000,16384000,11,warm_starts/warm_n2_st1_vdna.txt
2,dna,2,1.6127,0.2809,1.8935,0,0,8192000,16384000,11,warm_starts/warm_n2_st2_vdna.txt
2,beyblade,1,1.6881,0.2675,1.9556,0,0,8192000,16384000,10,warm_starts/warm_n2_st1_vbeyblade.txt
2,beyblade,2,1.6368,0.2711,1.9078,0,0,8192000,16384000,11,warm_starts/warm_n2_st2_vbeyblade.txt
3,jenga,1,1.6723,0.2716,1.9440,0,0,8192000,24576000,001,warm_starts/warm_n3_st1_vjenga.txt
3,jenga,2,1.7523,0.2740,2.0263,0,0,8192000,24576000,011,warm_starts/warm_n3_st2_vjenga.txt
3,dna,1,1.6375,0.2731,1.9106,0,0,8192000,24576000,011,warm_starts/warm_n3_st1_vdna.txt
3,dna,2,1.6168,0.2668,1.8836,0,0,8192000,24576000,001,warm_starts/warm_n3_st2_vdna.txt
3,beyblade,1,1.6290,0.2738,1.9028,0,0,8192000,24576000,100,warm_starts/warm_n3_st1_vbeyblade.txt
3,beyblade,2,1.6001,0.2725,1.8726,0,0,8192000,24576000,100,warm_starts/warm_n3_st2_vbeyblade.txt
4,jenga,1,1.6319,0.2727,1.9046,0,0,8192000,32768000,1110,warm_starts/warm_n4_st1_vjenga.txt
4,jenga,2,1.6672,0.2683,1.9354,0,0,8192000,32768000,1110,warm_starts/warm_n4_st2_vjenga.txt
4,dna,1,1.6469,0.2703,1.9172,0,0,8192000,32768000,1000,warm_starts/warm_n4_st1_vdna.txt
4,dna,2,1.6410,0.2718,1.9128,0,0,8192000,32768000,0111,warm_starts/warm_n4_st2_vdna.txt
4,beyblade,1,1.6379,0.2769,1.9148,0,0,8192000,32768000,0010,warm_starts/warm_n4_st1_vbeyblade.txt
4,beyblade,2,1.6212,0.2715,1.8926,0,0,8192000,32768000,1110,warm_starts/warm_n4_st2_vbeyblade.txt
5,jenga,1,1.6609,0.2677,1.9285,0,0,8192000,40960000,01000,warm_starts/warm_n5_st1_vjenga.txt
5,jenga,2,1.9110,0.2665,2.1775,0,0,8192000,40960000,01000,warm_starts/warm_n5_st2_vjenga.txt
5,dna,1,1.6123,0.2717,1.8840,0,0,8192000,40960000,01000,warm_starts/warm_n5_st1_vdna.txt
5,dna,2,1.6488,0.2707,1.9195,0,0,8192000,40960000,00010,warm_starts/warm_n5_st2_vdna.txt
5,beyblade,1,1.6598,0.2687,1.9284,0,0,8192000,40960000,00010,warm_starts/warm_n5_st1_vbeyblade.txt
5,beyblade,2,1.6262,0.2783,1.9045,0,0,8192000,40960000,11101,warm_starts/warm_n5_st2_vbeyblade.txt
6,jenga,1,1.6069,0.2747,1.8816,0,0,8192000,49152000,110100,warm_starts/warm_n6_st1_vjenga.txt
6,jenga,2,1.7121,0.2712,1.9834,0,0,8192000,49152000,011110,warm_starts/warm_n6_st2_vjenga.txt
6,dna,1,1.6460,0.2698,1.9159,0,0,8192000,49152000,100111,warm_starts/warm_n6_st1_vdna.txt
6,dna,2,1.6566,0.2788,1.9355,0,0,8192000,49152000,100010,warm_starts/warm_n6_st2_vdna.txt
6,beyblade,1,1.6143,0.2760,1.8903,0,0,8192000,49152000,100001,warm_starts/warm_n6_st1_vbeyblade.txt
6,beyblade,2,1.6053,0.2734,1.8788,0,0,8192000,49152000,101000,warm_starts/warm_n6_st2_vbeyblade.txt
7,jenga,1,1.8815,0.2837,2.1652,0,0,8192000,57344000,1011000,warm_starts/warm_n7_st1_vjenga.txt
7,jenga,2,1.5959,0.2738,1.8697,0,0,8192000,57344000,1110010,warm_starts/warm_n7_st2_vjenga.txt
7,dna,1,1.6600,0.2743,1.9343,0,0,8192000,57344000,0100111,warm_starts/warm_n7_st1_vdna.txt
7,dna,2,1.6409,0.2792,1.9201,0,0,8192000,57344000,0001101,warm_starts/warm_n7_st2_vdna.txt
7,beyblade,1,1.6204,0.2742,1.8946,0,0,8192000,57344000,1011000,warm_starts/warm_n7_st1_vbeyblade.txt
7,beyblade,2,1.6494,0.2715,1.9209,0,0,8192000,57344000,1110010,warm_starts/warm_n7_st2_vbeyblade.txt
8,jenga,1,1.6465,0.2699,1.9165,0,0,8192000,65536000,10110000,warm_starts/warm_n8_st1_vjenga.txt
8,jenga,2,1.6412,0.2707,1.9120,0,0,8192000,65536000,11110010,warm_starts/warm_n8_st2_vjenga.txt
8,dna,1,1.6620,0.2734,1.9354,0,0,8192000,65536000,01011000,warm_starts/warm_n8_st1_vdna.txt
8,dna,2,1.6799,0.2758,1.9557,0,0,8192000,65536000,00001101,warm_starts/warm_n8_st2_vdna.txt
8,beyblade,1,1.7134,0.2697,1.9831,0,0,8192000,65536000,11100101,warm_starts/warm_n8_st1_vbeyblade.txt
8,beyblade,2,1.6545,0.2722,1.9268,0,0,8192000,65536000,00011010,warm_starts/warm_n8_st2_vbeyblade.txt
9,jenga,1,1.8947,0.2775,2.1722,0,0,8192000,73728000,010000110,warm_starts/warm_n9_st1_vjenga.txt
9,jenga,2,1.6577,0.2708,1.9285,0,0,8192000,73728000,010000110,warm_starts/warm_n9_st2_vjenga.txt
9,dna,1,1.6881,0.2754,1.9635,0,0,8192000,73728000,010000110,warm_starts/warm_n9_st1_vdna.txt
9,dna,2,1.6641,0.2762,1.9403,0,0,8192000,73728000,111010011,warm_starts/warm_n9_st2_vdna.txt
9,beyblade,1,1.6634,0.2763,1.9397,0,0,8192000,73728000,000110010,warm_starts/warm_n9_st1_vbeyblade.txt
9,beyblade,2,1.6660,0.5365,2.2025,0,0,8192000,73728000,110010111,warm_starts/warm_n9_st2_vbeyblade.txt
10,jenga,1,1.6353,0.2688,1.9041,0,0,8192000,81920000,0011010000,warm_starts/warm_n10_st1_vjenga.txt
10,jenga,2,1.6228,0.2746,1.8974,0,0,8192000,81920000,1100101000,warm_starts/warm_n10_st2_vjenga.txt
10,dna,1,1.6780,0.2720,1.9500,0,0,8192000,81920000,0011010111,warm_starts/warm_n10_st1_vdna.txt
10,dna,2,1.6885,0.2682,1.9567,0,0,8192000,81920000,0011101101,warm_starts/warm_n10_st2_vdna.txt
10,beyblade,1,1.6751,0.2735,1.9487,0,0,8192000,81920000,0000011010,warm_starts/warm_n10_st1_vbeyblade.txt
10,beyblade,2,1.6802,0.2803,1.9605,0,0,8192000,81920000,1001111010,warm_starts/warm_n10_st2_vbeyblade.txt
11,jenga,1,1.6836,0.2727,1.9563,0,0,8192000,90112000,10110111000,warm_starts/warm_n11_st1_vjenga.txt
11,jenga,2,1.6432,0.2765,1.9196,0,0,8192000,90112000,11100010010,warm_starts/warm_n11_st2_vjenga.txt
11,dna,1,1.6777,0.2741,1.9518,0,0,8192000,90112000,01001000111,warm_starts/warm_n11_st1_vdna.txt
11,dna,2,1.6600,0.2712,1.9313,0,0,8192000,90112000,11100010010,warm_starts/warm_n11_st2_vdna.txt
11,beyblade,1,1.6221,0.2741,1.8962,0,0,8192000,90112000,10110111000,warm_starts/warm_n11_st1_vbeyblade.txt
11,beyblade,2,1.9167,0.2688,2.1855,0,0,8192000,90112000,00011101101,warm_starts/warm_n11_st2_vbeyblade.txt
12,jenga,1,1.6627,0.2769,1.9396,0,0,8192000,98304000,010111110011,warm_starts/warm_n12_st1_vjenga.txt
12,jenga,2,1.6540,0.2743,1.9283,0,0,8192000,98304000,100110101111,warm_starts/warm_n12_st2_vjenga.txt
12,dna,1,1.6567,0.2742,1.9309,0,0,8192000,98304000,111110011010,warm_starts/warm_n12_st1_vdna.txt
12,dna,2,1.7088,0.2752,1.9840,0,0,8192000,98304000,010110011111,warm_starts/warm_n12_st2_vdna.txt
12,beyblade,1,1.6880,0.5319,2.2199,0,0,8192000,98304000,010100110000,warm_starts/warm_n12_st1_vbeyblade.txt
12,beyblade,2,1.7027,0.2751,1.9778,0,0,8192000,98304000,000001100101,warm_starts/warm_n12_st2_vbeyblade.txt
