N,Target_E,Found_E,Status,Time_sec,Moves_Million
3,1,1,Success,0.000941038,8.192
4,2,2,Success,0.00044953,8.192
5,2,2,Success,0.000481652,8.192
6,7,7,Success,0.00047452,8.192
7,3,3,Success,0.000525709,8.192
8,8,8,Success,0.000530824,8.192
9,12,12,Success,0.000557701,8.192
10,13,13,Success,0.000579599,8.192
11,5,5,Success,0.000654492,8.192
12,10,10,Success,0.000703159,8.192
13,6,6,Success,0.000729369,8.192
14,19,19,Success,0.000724616,8.192
15,15,15,Success,0.0007914,8.192
16,24,24,Success,0.00085463,8.192
17,32,32,Success,0.000891496,8.192
18,25,25,Success,0.000970239,8.192
19,29,29,Success,0.00111567,8.192
20,26,26,Success,0.00135409,8.192
21,26,26,Success,0.00177379,8.192
22,39,39,Success,0.00317175,8.192
23,47,47,Success,0.00671551,8.192
24,36,36,Success,0.0141648,8.192
25,36,36,Success,0.020382,8.192
26,45,45,Success,0.0222017,8.192
27,37,37,Success,0.0225833,8.192
28,50,50,Success,0.0187888,8.192
29,62,62,Success,0.0189941,8.192
30,59,59,Success,0.0192929,8.192
31,67,67,Success,0.0197034,8.192
32,64,64,Success,0.0199791,8.192
33,64,64,Success,0.02747,8.192
34,65,65,Success,0.0281798,8.192
35,73,73,Success,0.0288195,8.192
36,82,82,Success,0.029375,8.192
37,86,86,Success,0.0298635,8.192
38,87,87,Success,0.0305125,8.192
39,99,99,Success,0.0311643,8.192
40,108,108,Success,0.031733,8.192
41,180,108,Success,0.0322047,8.192
42,101,101,Success,0.0328525,8.192
43,109,109,Success,0.0335096,8.192
44,122,122,Success,0.0343322,8.192
45,118,118,Success,0.034548,8.192
46,131,131,Success,0.0351932,8.192
47,135,135,Success,0.0358404,8.192
48,140,140,Success,0.0364116,8.192
49,136,136,Success,0.0368656,8.192
50,153,153,Success,0.0375126,8.192
51,153,153,Success,0.341846,73.728
52,166,166,Success,0.0387409,8.192
53,170,170,Success,0.0392177,8.192
54,175,175,Success,0.119423,24.576
55,171,171,Success,1.4518,294.912
56,192,192,Success,0.041088,8.192
57,188,188,Success,0.289825,57.344
58,197,197,Success,2.05851,401.408
59,205,205,Success,0.554898,106.496
60,218,218,Success,0.173142,32.768
61,226,226,Success,2.05509,385.024
62,235,235,Success,0.133342,24.576
63,207,207,Success,2.25125,409.6
64,208,208,Success,7.69691,1384.45
